"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","15000","6299.5","6299.5","5136.1","5156.75","5136.1","5156.75","43","177.39","48.39","1240","580","19969"
"BANKNIFTY","27-Mar-2020","30-Apr-2020","CE","15100","0","0","0","2658.4","0","5312.2","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","31700","0","0","0","351.8","0","219.75","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","31800","0","0","0","333.55","0","214.95","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","20100","0","0","0","3930.7","0","2399.85","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","20200","0","0","0","3861.35","0","2356.6","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","20300","0","0","0","3792.75","0","2314","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","20400","0","0","0","3724.9","0","2272.05","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","20500","0","0","0","3657.8","0","2230.7","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","20600","0","0","0","3590.6","0","2189.95","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","20700","0","0","0","3525.1","0","2149.85","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","20800","0","0","0","3460.4","0","2110.35","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","20900","0","0","0","3396.5","0","2071.45","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","21000","0","0","0","3398.95","0","2033.15","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","21100","0","0","0","3317.05","0","1995.45","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","21200","0","0","0","3236.05","0","1958.35","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","21300","0","0","0","3155.95","0","1921.85","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","21400","0","0","0","3076.75","0","1885.9","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","21500","0","0","0","2998.55","0","1850.5","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","21600","0","0","0","2921.3","0","1815.7","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","21700","0","0","0","2845.1","0","1781.45","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","21800","0","0","0","2769.85","0","1747.75","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","21900","0","0","0","2696.55","0","1714.6","0","0","0","0","0","19969"
"BANKNIFTY","27-Mar-2020","07-May-2020","CE","22000","0","0","0","2623.35","0","1682","0","0","0","0","0","19969"
